my_time, my_disp_z1, my_vel_z1, my_fz_z, topFz, out_strain2, out_stress2
0.001, -0.00149890870436013, -0.00200524304718904, -5.00093212547778e-06, 8.49990678745222e-05, 0.0363765213289982, 9.44434087494691
0.002, -0.00149639130748908, -0.00294835369425497, -2.94301510108836e-06, 0.000177056984898912, 0.120289750364004, 19.6729983221013
0.003, -0.00149314680033723, -0.00348096185509476, -1.47282345289531e-06, 0.000268527176547105, 0.228439988759002, 29.8363529496783
0.004, -0.00148953732117534, -0.00368995734154115, -2.92251403752352e-07, 0.000359707748596248, 0.348755960822001, 39.9675276218053
0.005, -0.00148584967962868, -0.00365096589126731, 5.52702648342739e-07, 0.000450552702648343, 0.471677345710669, 50.0614114053714
0.006, -0.00148228968348149, -0.00344890082842122, 1.04872944478444e-06, 0.000541048729444784, 0.590343883950332, 60.1165254938649
0.007, -0.00147897945277356, -0.00316345773066453, 1.24962249574282e-06, 0.000631249622495743, 0.700684907548, 70.1388469439714
0.008, -0.00147596986172833, -0.00285595078560645, 1.24558939559091e-06, 0.000721245589395591, 0.801004609055671, 80.1383988217323
0.009, -0.00147326177677174, -0.00256510256915518, 1.12661657081735e-06, 0.000811126616570817, 0.891274107608666, 90.1251796189797
0.01, -0.00147082758114636, -0.00231002878534395, 9.61526276464526e-07, 0.000900961526276465, 0.972413961787999, 100.106836252941
0.011, -0.00146862787554289, -0.0020962342469122, 7.93329314918668e-07, 0.000990793329314919, 1.04573748190367, 110.088147701658
0.012, -0.00146662206809194, -0.00192146588735434, 6.43756610639199e-07, 0.00108064375661064, 1.11259773026867, 120.071528512293
0.013, -0.0014647738241689, -0.00178003491383012, 5.20434193276333e-07, 0.00117052043419328, 1.17420586103667, 130.057826021476
0.014, -0.00146305305552533, -0.00166545318883872, 4.23184537562795e-07, 0.00126042318453756, 1.23156481582234, 140.047020504173
0.015, -0.0014614359649422, -0.0015717663582942, 3.48366099689251e-07, 0.00135034836609969, 1.28546783526, 150.03870734441
0.016, -0.00145990420868086, -0.0014940592353933, 2.91395528936563e-07, 0.00144029139552894, 1.33652637730467, 160.032377280993
0.017, -0.00145844380312897, -0.0014285142654581, 2.47984119478061e-07, 0.00153024798411948, 1.38520656236767, 170.027553791053
0.018, -0.00145704408780071, -0.0013722715945147, 2.14603153262695e-07, 0.00162021460315326, 1.43186373997633, 180.023844794807
0.019, -0.00145569686573755, -0.00132323034504981, 1.88549642489867e-07, 0.00171018854964249, 1.47677114208167, 190.020949960277
0.02, -0.00145439574193246, -0.00127985820567437, 1.67840281565385e-07, 0.00180016784028157, 1.52014193558467, 200.018648920174
0.021, -0.00145313563635717, -0.00124103460026581, 1.5105599727441e-07, 0.00189015105599727, 1.562145454761, 210.016783999697
0.022, -0.00145191243479692, -0.00120593158541887, 1.37193736215319e-07, 0.00198013719373622, 1.60291884010267, 220.015243748469
0.023, -0.00145072274173704, -0.00117392771602533, 1.25545858271903e-07, 0.00207012554585827, 1.642575275432, 230.013949539808
0.024, -0.00144956370592966, -0.0011445475796759, 1.15609917790936e-07, 0.00216011560991779, 1.68120980234467, 240.012845546421
0.025, -0.00144843289654216, -0.00111742003747067, 1.07024525554823e-07, 0.00225010702452555, 1.71890344859466, 250.01189161395
0.026, -0.00144732821411656, -0.00109224955017493, 9.95251715971146e-08, 0.0023400995251716, 1.75572619611466, 260.0110583524
0.027, -0.00144624782544859, -0.00106879643260305, 9.29143436178941e-08, 0.00243009291434362, 1.79173915171367, 270.010323815958
0.028, -0.001445190115007, -0.00104686311983894, 8.70414745431612e-08, 0.00252008704147454, 1.82699616643333, 280.009671274949
0.029, -0.00144415364793627, -0.0010262844672184, 8.17894722092601e-08, 0.00261008178947221, 1.861545068791, 290.009087719134
0.03, -0.00144313714131221, -0.00100692076884802, 7.70655970766185e-08, 0.00270007706559708, 1.89542862292634, 300.00856284412
0.031, -0.00144213944139483, -0.000988652627961745, 7.27951987595371e-08, 0.00279007279519876, 1.928685286839, 310.008088355418
0.032, -0.00144115950533184, -0.000971377109437549, 6.89173398197608e-08, 0.00288006891733982, 1.961349822272, 320.007657482202
0.033, -0.00144019638623171, -0.000955004796921782, 6.53816703971577e-08, 0.0029700653816704, 1.99345379227634, 330.007264630044
0.034, -0.00143924922083666, -0.000939457501638379, 6.2146154828583e-08, 0.00306006214615483, 2.02502597211133, 340.006905128314
0.035, -0.00143831721923543, -0.000924666450461527, 5.91753814582242e-08, 0.00315005917538146, 2.05609269215233, 350.006575042384
0.036, -0.0014373996561998, -0.000910570833180225, 5.64392833982998e-08, 0.0032400564392834, 2.08667812667333, 360.006271031489
0.037, -0.00143649586383095, -0.000897116624241669, 5.39121525638432e-08, 0.00333005391215256, 2.11680453896833, 370.005990239173
0.038, -0.00143560522527322, -0.000884255617026553, 5.15718705947597e-08, 0.00342005157187059, 2.14649249089267, 380.005730207843
0.039, -0.00143472716930681, -0.000871944625354719, 4.93993004249856e-08, 0.00351004939930042, 2.17576102310634, 390.005488811158
0.04, -0.00143386116566999, -0.000860144817933002, 4.73777979669368e-08, 0.00360004737779797, 2.20462781100034, 400.005264199774
0.041, -0.00143300672099151, -0.000848821159820151, 4.54928203489323e-08, 0.00369004549282035, 2.233109300283, 410.005054757817
0.042, -0.00143216337523667, -0.00083794194041694, 4.37316039166892e-08, 0.00378004373160392, 2.26122082544433, 420.004859067102
0.043, -0.00143133069858886, -0.0008274783726497, 4.20829009998777e-08, 0.003870042082901, 2.28897671370467, 430.004675877889
0.044, -0.00143050828870167, -0.00081740425042951, 4.05367630044659e-08, 0.003960040536763, 2.316390376611, 440.004504084778
0.045, -0.00142969576826856, -0.000807695654606558, 3.90843594441984e-08, 0.00405003908435944, 2.343474391048, 450.004342706604
