my_atoms, my_ke, my_cpu, my_time, 1_disp, 2_disp,  1_vel, 2_vel,  1_force, 2_force,  force1y, force2y,  force1z, force2z
2, 2.69422985972093e-11, 0, 1e-07, -0.0002, 0.00020001,  0, 0.1 ,  0, -4.74341649026134,  0, 0,  0, 0
2, 2.69422985972093e-11, 5.57299999999761e-05, 2e-07, -0.0002, 0.00020002,  0, 0.1 ,  0, -6.89202437605021,  0, 0,  0, 0
2, 2.69422985972093e-11, 8.10569999999955e-05, 3e-07, -0.0002, 0.00020003,  0, 0.1 ,  0, -8.51469318296657,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.00010326799999999, 4e-07, -0.0002, 0.00020004,  0, 0.1 ,  0, -9.87420882907486,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000123930999999966, 5e-07, -0.0002, 0.00020005,  0, 0.1 ,  0, -11.0679718105907,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000144540999999998, 6e-07, -0.0002, 0.00020006,  0, 0.1 ,  0, -12.1449578014975,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000164757000000015, 7e-07, -0.0002, 0.00020007,  0, 0.1 ,  0, -13.1339255365639,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000184782999999966, 8e-07, -0.0002, 0.00020008,  0, 0.1 ,  0, -14.0534693225598,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000204788000000011, 9e-07, -0.0002, 0.00020009,  0, 0.1 ,  0, -14.9164338901802,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000224567999999981, 1e-06, -0.0002, 0.0002001,  0, 0.1 ,  0, -15.7321327225555,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000244556000000007, 1.1e-06, -0.0002, 0.00020011,  0, 0.1 ,  0, -16.5075740192219,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000264879999999967, 1.2e-06, -0.0002, 0.00020012,  0, 0.1 ,  0, -17.2481883106626,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000284804999999999, 1.3e-06, -0.0002, 0.00020013,  0, 0.1 ,  0, -17.9582849960697,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000304566999999978, 1.4e-06, -0.0002, 0.00020014,  0, 0.1 ,  0, -18.6413518823086,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000324494000000008, 1.5e-06, -0.0002, 0.00020015,  0, 0.1 ,  0, -19.3002590656233,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000344453999999994, 1.6e-06, -0.0002, 0.00020016,  0, 0.1 ,  0, -19.9374020373775,  0, 0,  0, 0
2, 2.69422985972093e-11, 0.000364307000000008, 1.7e-06, -0.0002, 0.00020017,  0, 0.1 ,  0, -20.554804791098,  0, 0,  0, 0
