my_atoms, my_time, my_x, my_y, my_z, my_vel_x, my_vel_y, my_vel_z, my_omega_x, my_omega_y, my_omega_z, my_tqx, my_tqy, my_tqz
1, 0.0001, 0, 0.0015, 0.00149995100451908, 0, 0, -0.000978817070151081, 0, 0, 0, 0, 0, 0
1, 0.0002, 0, 0.0015, 0.00149980467659269, 0, 0, -0.00194441505333878, 0, 0, 0, 0, 0, 0
1, 0.0003, 0, 0.0015, 0.00149956302024672, 0, 0, -0.0028830161014666, 0, 0, 0, 0, 0, 0
1, 0.0004, 0, 0.0015, 0.0014992294650996, 0, 0, -0.00377982048261404, 0, 0, 0, 0, 0, 0
1, 0.0005, 0, 0.0015, 0.00149880898495217, 0, 0, -0.00461871429911212, 0, 0, 0, 0, 0, 0
1, 0.0006, 0, 0.0015, 0.00149830823366359, 0, 0, -0.00538222770293788, 0, 0, 0, 0, 0, 0
1, 0.0007, 0, 0.0015, 0.00149773567007486, 0, 0, -0.00605180398340676, 0, 0, 0, 0, 0, 0
1, 0.0008, 0, 0.0015, 0.00149710163889514, 0, 0, -0.00660841431938634, 0, 0, 0, 0, 0, 0
1, 0.0009, 0, 0.0015, 0.00149641837271733, 0, 0, -0.0070335165780863, 0, 0, 0, 0, 0, 0
1, 0.001, 0, 0.0015, 0.00149569988273394, 0, 0, -0.00731031028030701, 0, 0, 0, 0, 0, 0
1, 0.0011, 0, 0.0015, 0.00149496171308723, 0, 0, -0.00742518796316866, 0, 0, 0, 0, 0, 0
1, 0.0012, 0, 0.0015, 0.00149422054630983, 0, 0, -0.00736923344121466, 0, 0, 0, 0, 0, 0
1, 0.0013, 0, 0.0015, 0.00149349366426754, 0, 0, -0.00713958042295151, 0, 0, 0, 0, 0, 0
1, 0.0014, 0, 0.0015, 0.00149279828857247, 0, 0, -0.006740431711625, 0, 0, 0, 0, 0, 0
1, 0.0015, 0, 0.0015, 0.00149215084374677, 0, 0, -0.00618355835654445, 0, 0, 0, 0, 0, 0
1, 0.0016, 0, 0.0015, 0.00149156620205666, 0, 0, -0.00548815223267615, 0, 0, 0, 0, 0, 0
1, 0.0017, 0, 0.0015, 0.00149105697761355, 0, 0, -0.00467998899055716, 0, 0, 0, 0, 0, 0
1, 0.0018, 0, 0.0015, 0.00149063293675093, 0, 0, -0.00378995726285909, 0, 0, 0, 0, 0, 0
1, 0.0019, 0, 0.0015, 0.00149030058122559, 0, 0, -0.00285210507132319, 0, 0, 0, 0, 0, 0
1, 0.002, 0, 0.0015, 0.00149006294186163, 0, 0, -0.00190142565402543, 0, 0, 0, 0, 0, 0
1, 0.0021, 0, 0.0015, 0.0014899195960398, 0, 0, -0.000971637587465821, 0, 0, 0, 0, 0, 0
1, 0.0022, 0, 0.0015, 0.00148986689716188, 0, 0, -9.32025153742241e-05, 0, 0, 0, 0, 0, 0
1, 0.0023, 0, 0.0015, 0.00148989422984151, 0, 0, 0.000569872063835319, 0, 0, 0, 0, 0, 0
1, 0.0024, 0, 0.0015, 0.00148996763273473, 0, 0, 0.000839987363066452, 0, 0, 0, 0, 0, 0
1, 0.0025, 0, 0.0015, 0.00149005258399009, 0, 0, 0.000821311407968617, 0, 0, 0, 0, 0, 0
1, 0.0026, 0, 0.0015, 0.0014901264125621, 0, 0, 0.000637548643215552, 0, 0, 0, 0, 0, 0
1, 0.0027, 0, 0.0015, 0.00149017821066351, 0, 0, 0.000396152663384566, 0, 0, 0, 0, 0, 0
1, 0.0028, 0, 0.0015, 0.001490206258583, 0, 0, 0.000172022589721107, 0, 0, 0, 0, 0, 0
1, 0.0029, 0, 0.0015, 0.00149021455474298, 0, 0, 5.10766224863956e-06, 0, 0, 0, 0, 0, 0
1, 0.003, 0, 0.0015, 0.0014902089695331, 0, 0, -0.000112431618175044, 0, 0, 0, 0, 0, 0
1, 0.0031, 0, 0.0015, 0.00149019285103813, 0, 0, -0.000206424870697138, 0, 0, 0, 0, 0, 0
1, 0.0032, 0, 0.0015, 0.00149016831725324, 0, 0, -0.000281407672487084, 0, 0, 0, 0, 0, 0
1, 0.0033, 0, 0.0015, 0.0014901370820329, 0, 0, -0.000340990821645146, 0, 0, 0, 0, 0, 0
1, 0.0034, 0, 0.0015, 0.00149010053530769, 0, 0, -0.000388068366611455, 0, 0, 0, 0, 0, 0
1, 0.0035, 0, 0.0015, 0.00149005980737489, 0, 0, -0.000424960226991282, 0, 0, 0, 0, 0, 0
1, 0.0036, 0, 0.0015, 0.00149001582035319, 0, 0, -0.00045352720161378, 0, 0, 0, 0, 0, 0
1, 0.0037, 0, 0.0015, 0.00148996932930335, 0, 0, -0.000475263412575617, 0, 0, 0, 0, 0, 0
1, 0.0038, 0, 0.0015, 0.00148992095505269, 0, 0, -0.000491370430419779, 0, 0, 0, 0, 0, 0
1, 0.0039, 0, 0.0015, 0.00148987121037357, 0, 0, -0.000502816598210381, 0, 0, 0, 0, 0, 0
1, 0.004, 0, 0.0015, 0.00148982052084706, 0, 0, -0.000510384439223375, 0, 0, 0, 0, 0, 0
1, 0.0041, 0, 0.0015, 0.00148976924148167, 0, 0, -0.000514708495903646, 0, 0, 0, 0, 0, 0
1, 0.0042, 0, 0.0015, 0.00148971766994599, 0, 0, -0.000516305499981086, 0, 0, 0, 0, 0, 0
1, 0.0043, 0, 0.0015, 0.00148966605710247, 0, 0, -0.000515598404944943, 0, 0, 0, 0, 0, 0
1, 0.0044, 0, 0.0015, 0.00148961461539258, 0, 0, -0.000512935511215929, 0, 0, 0, 0, 0, 0
1, 0.0045, 0, 0.0015, 0.00148956352551276, 0, 0, -0.000508605670491293, 0, 0, 0, 0, 0, 0
1, 0.0046, 0, 0.0015, 0.00148951294173239, 0, 0, -0.000502850359048907, 0, 0, 0, 0, 0, 0
1, 0.0047, 0, 0.0015, 0.00148946299613407, 0, 0, -0.000495873251746595, 0, 0, 0, 0, 0, 0
1, 0.0048, 0, 0.0015, 0.001489413802, 0, 0, -0.000487847801795824, 0, 0, 0, 0, 0, 0
1, 0.0049, 0, 0.0015, 0.00148936545652286, 0, 0, -0.000478923230079551, 0, 0, 0, 0, 0, 0
1, 0.005, 0, 0.0015, 0.00148931804298357, 0, 0, -0.00046922924685911, 0, 0, 0, 0, 0, 0
1, 0.0051, 0, 0.0015, 0.00148927163250922, 0, 0, -0.000458879764110654, 0, 0, 0, 0, 0, 0
1, 0.0052, 0, 0.0015, 0.00148922628550153, 0, 0, -0.000447975805171553, 0, 0, 0, 0, 0, 0
1, 0.0053, 0, 0.0015, 0.00148918205280736, 0, 0, -0.000436607777214625, 0, 0, 0, 0, 0, 0
1, 0.0054, 0, 0.0015, 0.00148913897668815, 0, 0, -0.000424857239185395, 0, 0, 0, 0, 0, 0
1, 0.0055, 0, 0.0015, 0.00148909709163339, 0, 0, -0.000412798271541789, 0, 0, 0, 0, 0, 0
1, 0.0056, 0, 0.0015, 0.00148905642505332, 0, 0, -0.000400498533073988, 0, 0, 0, 0, 0, 0
1, 0.0057, 0, 0.0015, 0.00148901699787862, 0, 0, -0.000388020073188789, 0, 0, 0, 0, 0, 0
1, 0.0058, 0, 0.0015, 0.00148897882508897, 0, 0, -0.000375419954461181, 0, 0, 0, 0, 0, 0
1, 0.0059, 0, 0.0015, 0.00148894191618669, 0, 0, -0.000362750729311359, 0, 0, 0, 0, 0, 0
1, 0.006, 0, 0.0015, 0.00148890627562877, 0, 0, -0.0003500608058375, 0, 0, 0, 0, 0, 0
1, 0.0061, 0, 0.0015, 0.00148887190322654, 0, 0, -0.000337394730679855, 0, 0, 0, 0, 0, 0
1, 0.0062, 0, 0.0015, 0.00148883879452028, 0, 0, -0.000324793410997914, 0, 0, 0, 0, 0, 0
1, 0.0063, 0, 0.0015, 0.00148880694113395, 0, 0, -0.000312294292934214, 0, 0, 0, 0, 0, 0
1, 0.0064, 0, 0.0015, 0.00148877633111365, 0, 0, -0.000299931510110046, 0, 0, 0, 0, 0, 0
