my_atoms, my_ke, my_cpu, my_time, 1_disp, 2_disp, 3_disp, 1_vel, 2_vel, 3_vel,  1_force, 2_force, 3_force, force1y, force2y, force3y, force1z, force2z,force3z
3, 2.29880907625619e-09, 0.000973952, 1e-05, -0.0004, 5.72524537937264e-07, 0.000401,  0, 0.918277848156054 , 0.1,  0, -10.3003928439602, -27.5322827796753, 0, 0,0,  0, 0,0
3, 2.87679657515329e-11, 0.00183098300000001, 2e-05, -0.0004, 9.9908974574697e-07, 0.000402,  0, 0.0260311574240381 , 0.1,  0, 0.0205178431848267, -49.9977563059835, 0, 0,0,  0, 0,0
3, 2.74603526618306e-11, 0.00270131100000004, 3e-05, -0.0004, 1.49926428842203e-06, 0.000403,  0, 0.0138666074165102 , 0.1,  0, 0.00962448912088121, -61.2318485671059, 0, 0,0,  0, 0,0
3, 3.16002185742125e-11, 0.00352604400000001, 4e-05, -0.0004, 2.00002035925753e-06, 0.000404,  0, 0.0415794450887101 , 0.1,  0, -0.0183997782543486, -70.6926382437107, 0, 0,0,  0, 0,0
3, 4.76340162162574e-11, 0.004349253, 5e-05, -0.0004, 2.4996187207007e-06, 0.000405,  0, 0.0876356775933424 , 0.1,  0, -0.00375465368131245, -79.0471580656019, 0, 0,0,  0, 0,0
3, 4.33374264566545e-11, 0.00517562400000005, 6e-05, -0.0004, 2.99987339311239e-06, 0.000406,  0, 0.0780081684851103 , 0.1,  0, -0.0107798290755596, -86.5899331170716, 0, 0,0,  0, 0,0
3, 4.64735248564036e-11, 0.00599656000000004, 7e-05, -0.0004, 3.49931416102989e-06, 0.000407,  0, 0.085142702914548 , 0.1,  0, 0.00496711020268492, -93.5372364217869, 0, 0,0,  0, 0,0
3, 2.74495689422087e-11, 0.006829588, 8e-05, -0.0004, 3.99958493830692e-06, 0.000408,  0, 0.0137215260544644 , 0.1,  0, -0.0021235904019079, -99.9926880038367, 0, 0,0,  0, 0,0
3, 2.82861671556266e-11, 0.00765222100000001, 9e-05, -0.0004, 4.49987439498038e-06, 0.000409,  0, 0.0223337203607742 , 0.1,  0, -0.00882506461883281, -106.055711833682, 0, 0,0,  0, 0,0
3, 3.75310724617786e-11, 0.00852139600000001, 0.0001, -0.0004, 5.00004885772622e-06, 0.00041,  0, 0.0626910457328769 , 0.1,  0, -0.0122734455636078, -111.791671674077, 0, 0,0,  0, 0,0
3, 3.19131218280727e-11, 0.00934511300000002, 0.00011, -0.0004, 5.50008135650446e-06, 0.000411,  0, 0.0429533298566306 , 0.1,  0, -0.0123951257659769, -117.248866129864, 0, 0,0,  0, 0,0
3, 4.6149517581142e-11, 0.010165136, 0.00012, -0.0004, 5.99938561895656e-06, 0.000412,  0, 0.0844335250914712 , 0.1,  0, 0.00233489056184055, -122.470551368926, 0, 0,0,  0, 0,0
3, 2.75714351166977e-11, 0.010996169, 0.00013, -0.0004, 6.49946871297629e-06, 0.000413,  0, 0.0152811178538771 , 0.1,  0, 0.000613612617698323, -127.47089164809, 0, 0,0,  0, 0,0
3, 4.2882870035924e-11, 0.011822463, 0.00014, -0.0004, 6.99988079676608e-06, 0.000414,  0, 0.0769191755154982 , 0.1,  0, -0.00719663948089533, -132.279242544266, 0, 0,0,  0, 0,0
3, 4.50446333163266e-11, 0.012643067, 0.00015, -0.0004, 7.49928143772396e-06, 0.000415,  0, 0.0819690634336459 , 0.1,  0, 0.00399051598029132, -136.928070189023, 0, 0,0,  0, 0,0
