my_time, my_disp_z1, my_vel_z1, my_fz_z, topFz, out_strain2, out_stress2
0.001, -0.0014966305926409, -0.0093425058686805, -5.8706466753623e-05, 3.1293533246377e-05, 0.112313578636668, 3.47705924959744
0.002, -0.00148414554511535, -0.00968685559343217, 7.11303991608094e-05, 0.000251130399160809, 0.528481829488332, 27.9033776845343
0.003, -0.00148167883973041, -0.000266120118130357, -2.13813851770042e-05, 0.000248618614822996, 0.61070534231967, 27.6242905358884
0.004, -0.00147857516739913, -0.00568309284832157, -1.54236335318683e-05, 0.000344576366468132, 0.71416108669567, 38.2862629409036
0.005, -0.00147228795572748, -0.00566638269825037, 1.28742376244122e-05, 0.000462874237624412, 0.923734809083998, 51.4304708471569
0.006, -0.00146819805479874, -0.00284454367067013, 6.11210282992455e-06, 0.000546112102829925, 1.060064840042, 60.6791225366583
0.007, -0.00146574264784102, -0.00227345106263281, 7.98406327895689e-07, 0.000630798406327896, 1.14191173863267, 70.0887118142107
0.008, -0.00146358020330081, -0.00203986128423332, 1.01690289712377e-06, 0.000721016902897124, 1.21399322330634, 80.1129892107916
0.009, -0.00146165036982384, -0.00183409138933575, 6.83875510602947e-07, 0.000810683875510603, 1.278321005872, 90.0759861678448
0.01, -0.00145989233271992, -0.00168801080931099, 5.30960339957293e-07, 0.000900530960339957, 1.33692224266934, 100.058995593329
0.011, -0.00145826447596229, -0.00157198546409238, 4.25887454334273e-07, 0.000990425887454334, 1.39118413459034, 110.047320828259
0.012, -0.00145674117013865, -0.00147761742156766, 3.52029279120048e-07, 0.00108035202927912, 1.44196099537833, 120.039114364347
0.013, -0.00145530411152945, -0.00139871171346506, 2.97528571883976e-07, 0.00117029752857188, 1.48986294901833, 130.033058730209
0.014, -0.001453939885459, -0.00133142902545232, 2.55925912405995e-07, 0.00126025592591241, 1.53533715136667, 140.02843621249
0.015, -0.00145263826425687, -0.00127313889613583, 2.23279478383295e-07, 0.00135022327947838, 1.578724524771, 150.024808830931
0.016, -0.00145139123481161, -0.00122198362498392, 1.97088378597367e-07, 0.0014401970883786, 1.62029217294633, 160.021898708733
