time, angvelx, angvely, angvelz, posx, posy, posz, torqx, torqy, torqz
1e-05, 0, 5.05500718418189, 0, 4.61024566816575e-05, 0, 3.99999999995373, 0, 34152117966484.8, 0
2e-05, 0, 5.98294158569921, 0, 8.21974538598428e-05, 0, 3.99999999925686, 0, -28445980568260.8, 0
3e-05, 0, -0.883758585391346, 0, 0.000121046685737507, 0, 4.00000055921426, 0, -24797479036454.3, 0
4e-05, 0, -0.749825137697062, 0, 0.000158412525529035, 0, 4.00000228511168, 0, 19332234626689.9, 0
5e-05, 0, 2.27877851828966, 0, 0.000187788919060271, 0, 4.00000358346288, 0, 5308500156859.66, 0
6e-05, 0, 1.24700426335558, 0, 0.000215439787558098, 0, 4.00000447723706, 0, -12456179780609.4, 0
7e-05, 0, -1.13482960264983, 0, 0.000241687098815543, 0, 4.00000454115476, 0, -8884499898250.85, 0
8e-05, 0, -0.67642734190663, 0, 0.000267802878005912, 0, 4.00000347781519, 0, 15246482040870.6, 0
9e-05, 0, 2.73096506669117, 0, 0.000290261983426131, 0, 4.00000182936388, 0, 9658492560739.12, 0
0.0001, 0, 0.309785361200933, 0, 0.000306779160022817, 0, 4.00000044607236, 0, -31741704831346.1, 0
0.00011, 0, -4.54539446119033, 0, 0.000326216813619766, 0, 4.00000411960097, 0, -5513754224600.02, 0
0.00012, 0, -1.15099976353068, 0, 0.000344466713039416, 0, 4.00000546691916, 0, 29509386019438.1, 0
0.00013, 0, 1.38084849620275, 0, 0.000356581829821417, 0, 4.00000756960509, 0, -9627615033699.45, 0
0.00014, 0, -2.55623857935049, 0, 0.000372752303191446, 0, 4.00000719662499, 0, -17814491155556.7, 0
0.00015, 0, -1.70233028630039, 0, 0.000395073936704925, 0, 4.00000712146133, 0, 26916199224477.5, 0
0.00016, 0, 4.3165700971509, 0, 0.000417260181038381, 0, 4.00000496363983, 0, 23220628922301, 0
0.00017, 0, 4.2294853928121, 0, 0.000439162345447984, 0, 4.00000239307, 0, -22440557630436.2, 0
0.00018, 0, -0.315991348601209, 0, 0.000466119341196916, 0, 4.00000443567, 0, -11784963017962.3, 0
0.00019, 0, 1.83814751757523, 0, 0.000495482077588278, 0, 4.00000920710319, 0, 27811488024923.6, 0
0.0002, 0, 5.09992430333108, 0, 0.000517840894482365, 0, 4.00000990973005, 0, -5108625614397.85, 0
0.00021, 0, 0.447428919696459, 0, 0.000538874636801909, 0, 4.00000972492803, 0, -30029633970213, 0
0.00022, 0, -1.30839128779619, 0, 0.000563551406108747, 0, 4.00000934668566, 0, 15404502127716.4, 0
0.00023, 0, 3.27804373030997, 0, 0.000582691193899808, 0, 4.00000721641459, 0, 19536946708978.8, 0
0.00024, 0, 3.58659138117587, 0, 0.000597625700162142, 0, 4.00000354260421, 0, -13989332195431.2, 0
0.00025, 0, 0.46025970666705, 0, 0.000612580601251345, 0, 4.0000061849979, 0, -12681003189625.7, 0
0.00026, 0, -0.230100108141805, 0, 0.00062402376311281, 0, 4.00000853340734, 0, 5446041225487.29, 0
0.00027, 0, 1.63363828908799, 0, 0.00063004907829672, 0, 4.00001082142203, 0, 8611281570832.17, 0
0.00028, 0, 0.488698647588842, 0, 0.000627468953542241, 0, 4.00001035696932, 0, -24071695956930.7, 0
0.00029, 0, -5.28142449610887, 0, 0.000621279477285121, 0, 4.00000987431581, 0, -22259826210536.2, 0
0.0003, 0, -4.08575824467226, 0, 0.000615614395372624, 0, 4.00000810080717, 0, 32370656762989.3, 0
0.00031, 0, 1.27721783125182, 0, 0.000601241504516684, 0, 4.00000639796711, 0, 6190017623845.88, 0
0.00032, 0, -2.75846876810147, 0, 0.00058501268582604, 0, 4.00000428432963, 0, -33531045663835.9, 0
0.00033, 0, -4.50094249911154, 0, 0.000577072131580017, 0, 4.00000857415623, 0, 23117307960828.8, 0
0.00034, 0, 2.19396492766842, 0, 0.000565499303401393, 0, 4.00001194606298, 0, 26871748831782.8, 0
0.00035, 0, 1.54139722230506, 0, 0.000550195592109741, 0, 4.00001539790468, 0, -28719152484229.1, 0
0.00036, 0, -3.27397818090754, 0, 0.00054101356484265, 0, 4.00001716709854, 0, -8814954601310.92, 0
0.00037, 0, -1.28713910540095, 0, 0.000531773204507571, 0, 4.000015550021, 0, 21231633379830.3, 0
0.00038, 0, 1.45953657157499, 0, 0.000519402734577993, 0, 4.0000098903227, 0, 3247000955799.19, 0
0.00039, 0, 0.304412101450451, 0, 0.000508536974101895, 0, 4.00000532015724, 0, -11472243779552.4, 0
0.0004, 0, -1.18750489380566, 0, 0.000500425759333548, 0, 4.00000807598727, 0, 496357184762.66, 0
0.00041, 0, 1.44028969123299, 0, 0.000494786790363047, 0, 4.00001230756038, 0, 24682386823103.8, 0
0.00042, 0, 5.13036436724652, 0, 0.000486607999510357, 0, 4.00001277623441, 0, 3712628377649.26, 0
0.00043, 0, 1.68089443379004, 0, 0.000475594912823925, 0, 4.00001512379883, 0, -32042825925362.8, 0
0.00044, 0, -2.00745448830817, 0, 0.000466831291068069, 0, 4.00001708049202, 0, 3258602116569.62, 0
